#{"t_start": 1745852444.2149963, "env_id": "highway-v0"}
r,l,t
27.926445,34,56.961381
6.712688,9,68.920852
3.865204,5,75.228718
1.665179,3,78.886672
5.765668,7,86.763132
4.845561,6,94.086423
8.872439,11,107.549546
12.34521,17,131.100349
7.856058,9,143.099817
6.682334,9,155.253309
1.046532,2,157.741516
9.858699,12,173.051994
1.665179,3,176.460235
1.688889,3,179.65727
1.951111,3,182.861085
9.709039,13,198.767772
1.798501,3,202.377156
5.303828,7,210.8446
1.995543,3,214.176922
13.873193,16,233.682816
14.698649,18,258.289991
16.016947,20,285.635728
2.772656,4,290.346524
19.105852,21,318.099885
1.97209,3,321.666197
5.266667,7,329.877253
11.261626,14,348.087086
13.90785,17,370.941842
30.781538,40,427.216628
18.882389,20,452.605947
7.088889,9,463.859312
15.967615,19,489.148976
24.467407,28,527.205894
10.394959,13,544.673715
1.888889,3,548.137801
14.817181,18,571.472532
18.195521,22,601.308055
2.754993,4,606.020888
32.027481,40,659.720332
30.024221,40,714.974245
33.836143,40,769.815793
31.064333,40,825.378749
4.373787,6,832.35326
2.574517,4,837.093998
10.530073,13,853.560585
21.733333,26,888.613624
28.641184,34,934.136482
21.731834,26,969.691746
6.441184,9,981.358414
9.437936,12,997.276457
6.528074,8,1006.441363
8.706876,11,1020.116358
12.813499,16,1041.427588
15.524175,17,1064.441545
15.641709,19,1089.85284
7.63769,9,1102.49018
3.95032,5,1108.308511
3.172656,4,1112.88422
1.77453,3,1116.005246
4.374517,6,1123.433931
9.736143,13,1140.718502
2.484419,4,1145.444906
1.888889,3,1148.621354
15.842169,17,1170.073221
26.931834,32,1213.664574
31.307987,40,1267.910791
10.394959,13,1284.932373
16.64021,20,1311.695095
5.172737,7,1320.450675
15.644444,19,1343.150661
15.323253,19,1369.386958
17.328292,21,1397.527869
2.774517,4,1402.172768
15.613067,17,1424.64639
1.847407,3,1428.183857
7.866667,10,1441.162292
30.417176,40,1497.201405
8.300877,11,1510.353266
26.569441,32,1554.139559
3.885611,5,1559.663461
15.666667,19,1584.514278
1.752308,3,1588.036635
7.998501,10,1601.279476
3.50785,5,1607.272446
18.314074,22,1634.399396
29.31637,40,1681.291734
8.708375,11,1695.555919
18.241184,22,1725.347645
5.857669,8,1734.437175
29.92945,40,1786.07606
2.712575,4,1790.963036
10.903091,14,1808.178125
21.515693,25,1839.90398
9.821638,12,1856.082233
4.021175,5,1862.320798
10.123251,13,1879.527734
12.120731,14,1898.890145
9.574517,12,1914.481879
29.068665,40,1969.800722
10.372519,12,1984.917267
10.466667,13,2001.783206
1.797942,3,2005.40478
6.150515,8,2015.224894
3.533333,5,2020.902374
5.637824,7,2030.189559
16.370001,20,2056.862394
4.4,6,2064.550082
6.180741,8,2074.888498
4.421924,6,2082.198085
26.402942,32,2127.201437
2.660513,4,2131.829038
1.708664,3,2135.248508
5.013052,7,2143.467751
31.964457,40,2197.322391
7.807257,10,2210.506719
20.085065,24,2242.788419
31.601998,40,2297.348067
31.328079,40,2352.293939
27.473583,33,2392.797721
25.402079,31,2435.905735
15.644444,19,2460.817262
27.26936,40,2517.663338
30.849704,40,2572.766647
16.881112,21,2601.039395
27.404928,33,2646.836265
12.26482,15,2666.292083
16.566116,20,2693.073783
30.912319,40,2749.511361
24.488116,26,2785.081903
12.755233,16,2804.812383
8.661626,11,2819.155584
10.067403,12,2835.312925
3.533333,5,2840.746332
29.332743,40,2895.870875
9.68739,12,2912.267508
13.387925,15,2932.447318
31.217399,40,2986.830314
29.933551,40,3040.94557
15.609758,19,3066.728466
26.29203,32,3108.305438
34.089084,40,3162.368585
16.50785,20,3188.916632
4.083848,6,3196.191394
24.663134,30,3237.800823
7.841184,10,3250.642221
25.35946,34,3297.88476
5.70314,8,3306.948534
8.840227,11,3321.16927
3.172656,4,3325.64817
31.579776,40,3380.728324
17.771157,21,3409.240822
5.194959,7,3418.062243
9.598501,12,3434.15617
9.039206,11,3448.936368
13.456585,17,3470.241782
29.555767,40,3522.282129
6.186024,8,3532.021751
8.412142,11,3546.407765
2.683844,4,3551.118541
29.559316,40,3602.015925
8.924951,12,3618.299195
13.041184,16,3639.735342
5.127075,7,3648.821716
7.772737,10,3661.454579
34.29058,40,3709.781754
21.661626,26,3744.947161
8.97303,12,3760.886288
27.530915,40,3817.087194
34.591494,40,3870.027208
29.813988,40,3925.998192
12.149056,15,3945.980283
27.556677,40,4001.806071
18.439197,25,4035.937001
5.125688,7,4043.914931
6.03659,8,4054.225909
27.713809,40,4111.093441
12.174517,15,4131.015178
11.036143,14,4149.814678
7.281122,10,4162.170175
8.661626,11,4176.502068
27.083103,34,4220.979019
28.624214,40,4277.06909
24.00849,29,4316.906218
15.187401,17,4340.197722
5.305507,7,4348.682613
6.973787,9,4360.396446
31.538592,40,4415.444683
10.371556,13,4432.096938
27.069566,33,4477.776184
10.039966,13,4494.951218
8.060671,11,4509.258354
6.90607,9,4521.294568
5.731834,8,4532.110258
3.327085,5,4538.116378
17.070427,22,4567.813032
30.662753,40,4624.176063
1.752308,3,4627.817391
6.109033,8,4637.404615
16.735332,24,4670.68704
15.545269,19,4694.783578
10.366051,13,4709.560217
6.224811,9,4720.987518
31.297709,40,4776.162205
5.727598,8,4786.730177
15.114871,22,4817.559539
4.30607,6,4824.557891
32.12584,40,4880.298954
32.025982,40,4934.429576
1.730086,3,4937.935164
22.229562,28,4976.502058
12.158224,15,4996.670455
23.340235,26,5031.172473
6.085628,8,5041.562076
10.167717,13,5059.072254
9.631559,12,5075.529994
12.036445,14,5094.412364
8.709612,11,5109.166967
7.019012,9,5120.603381
34.015542,40,5173.525304
19.903334,24,5205.889719
11.037035,14,5224.450476
6.814541,9,5235.935993
24.768502,30,5277.506906
29.571019,40,5325.760886
5.925359,8,5335.054613
34.208169,40,5389.910848
10.476834,12,5404.673815
14.393805,16,5426.259907
10.390993,13,5441.98792
16.270661,20,5469.548002
30.405259,40,5520.221844
28.756606,40,5577.466466
12.468522,19,5603.8211
5.02224,6,5610.90045
33.932244,40,5666.231376
34.461626,40,5727.885551
14.798501,18,5755.651054
25.499869,33,5808.335546
21.729552,26,5847.474286
32.535332,40,5909.227398
14.798501,18,5937.389218
10.327803,15,5961.459795
12.207451,15,5985.081805
5.191766,7,5994.331469
29.487694,40,6057.663617
28.952274,40,6122.106997
31.332022,40,6186.825426
13.566611,16,6211.33204
29.395171,40,6275.716664
10.834194,14,6296.787955
29.70483,40,6361.804914
10.85158,14,6383.76292
14.457634,18,6411.460407
11.30785,14,6432.441468
3.415246,5,6439.04791
14.838593,20,6469.11976
29.844301,40,6532.775786
9.743801,13,6551.887696
30.637828,40,6615.612537
30.121774,36,6671.904804
32.501919,40,6735.02173
2.55282,4,6740.419275
28.025845,40,6805.786769
8.334923,11,6822.763567
19.631103,24,6860.956367
28.623439,40,6925.520587
12.677094,16,6951.271892
31.161441,40,7015.775422
27.803368,40,7069.694881
28.580371,40,7134.278142
28.442087,40,7199.886491
16.50785,20,7230.360964
8.642356,11,7247.018936
28.448901,40,7300.003877
16.459183,20,7331.237088
9.302809,12,7350.019066
32.061626,40,7411.502676
7.346669,9,7425.079527
32.568545,37,7475.212246
31.835496,40,7539.611447
28.803756,40,7595.958229
22.074443,30,7642.685029
29.705278,40,7707.184039
29.288881,40,7770.879915
28.893549,35,7825.970179
28.560815,40,7887.355165
8.432389,11,7904.256425
3.283654,5,7910.92615
33.634173,40,7975.684988
34.112737,40,8038.230862
4.449566,7,8048.818464
31.520565,40,8112.719863
29.0621,40,8178.672125
14.451434,18,8207.550706
28.725992,40,8270.38834
29.271925,40,8326.949605
27.341801,34,8374.823067
29.746536,40,8431.282979
27.998496,40,8488.39377
21.129263,29,8529.457956
21.708375,26,8564.767857
6.933781,9,8576.293913
17.968928,23,8605.684059
20.94532,25,8639.341995
29.946291,36,8687.352474
34.665168,40,8742.253753
7.987332,10,8754.950254
21.522055,26,8791.02049
3.527108,5,8797.305485
3.598153,5,8803.631219
6.660127,9,8815.826329
14.393386,18,8840.865892
5.330458,7,8850.122673
34.322324,40,8904.874372
6.79131,9,8917.058475
34.024685,40,8973.45101
10.000263,11,8988.364536
16.670944,21,9017.93369
30.437802,40,9074.83008
10.278669,13,9092.849631
34.183467,40,9144.841453
2.618241,4,9149.557993
30.276444,40,9205.668298
4.135922,6,9212.192634
10.883209,14,9230.334704
29.775673,40,9283.60663
28.7829,40,9340.635319
9.511137,12,9356.432621
29.527156,40,9413.060833
6.998501,9,9425.11086
21.595809,31,9468.047667
15.810179,20,9493.028791
21.951083,31,9537.058792
9.528292,12,9552.482465
12.920802,16,9574.35625
28.839118,40,9631.560768
7.545387,10,9645.147948
27.486358,40,9699.721674
16.642451,19,9725.841136
32.33166,40,9781.671644
34.94953,40,9835.448382
6.9757,9,9847.16726
34.666667,40,9899.801614
29.177139,40,9956.438598
6.524649,9,9967.671403
7.770263,10,9979.443372
6.179242,8,9990.069808
13.547529,17,10013.459757
15.96728,20,10040.444706
27.112322,40,10097.192241
13.016226,16,10118.901152
26.943675,32,10162.769445
7.237501,10,10176.632033
26.801347,36,10223.642966
30.29114,40,10280.151179
17.216095,20,10306.535626
27.425982,40,10363.39741
7.109634,10,10376.648994
31.574928,40,10432.491343
3.843854,6,10439.963816
32.512672,40,10493.997618
10.077062,13,10511.512141
28.224217,40,10568.515543
20.89914,25,10603.413341
27.42085,40,10660.980981
27.558055,40,10717.885139
4.46178,6,10725.462924
1.730086,3,10728.756815
5.036003,7,10737.302736
29.550985,40,10788.611328
12.099595,15,10806.716735
13.041709,16,10826.04932
28.181533,40,10883.750221
16.906415,18,10907.384262
27.560815,40,10960.097602
21.839772,32,11005.375417
29.6599,40,11062.168549
28.925106,40,11116.94498
29.479172,40,11173.585598
28.729701,40,11230.512721
28.178183,40,11287.291496
29.413905,40,11343.689764
7.746311,10,11356.93347
19.39148,22,11386.347393
28.288523,40,11442.828712
28.291412,40,11496.215858
1.75283,3,11499.844161
7.841184,10,11512.608323
34.405153,40,11568.299596
29.439373,40,11615.077282
12.380297,16,11636.512163
29.149162,40,11689.763167
5.266667,7,11698.659882
30.552447,40,11754.959882
17.006395,21,11784.162216
29.172628,40,11840.527491
31.031434,40,11897.078093
27.906104,40,11953.693664
16.433222,20,11981.344859
30.499627,40,12037.839827
18.373878,26,12074.438954
22.768898,29,12114.004395
16.960744,21,12139.680961
30.731866,40,12195.091624
25.524074,30,12236.011724
27.688772,40,12290.020217
29.315945,39,12334.856597
7.729155,9,12346.504384
34.269373,40,12402.213922
27.181538,40,12459.490695
30.216928,40,12515.429837
9.110137,13,12530.61006
25.002523,37,12581.354206
6.903156,9,12592.998667
27.645671,40,12649.741188
29.510156,40,12706.376781
29.396928,40,12761.648439
31.453866,40,12817.572059
29.46568,36,12867.147281
31.878092,40,12924.024813
3.129901,5,12930.493792
28.908373,40,12986.288926
8.509827,12,13002.404099
27.622433,40,13059.283416
17.596725,25,13088.326798
30.500819,40,13141.162318
31.244032,40,13197.506265
15.226957,19,13224.23811
24.263238,29,13264.642525
14.700622,18,13289.277168
28.663624,40,13345.66222
12.151321,15,13365.329189
21.682145,26,13400.90913
17.637686,19,13426.622537
30.291805,40,13483.545683
27.839264,40,13540.193168
28.504722,40,13596.670175
29.076497,40,13648.538143
27.863588,40,13705.008371
31.015146,40,13760.166805
19.973543,24,13793.231133
33.259627,40,13844.650993
